Count_gastruloid,FileName_raw,ImageNumber,Metadata_FileLocation,Metadata_colrow,Metadata_treatment,PathName_raw
1.0,04C.tif,27,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/04C.tif,04C,matrigel5,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,04D.tif,28,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/04D.tif,04D,matrigel5,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,04E.tif,29,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/04E.tif,04E,matrigel5,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,04F.tif,30,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/04F.tif,04F,matrigel5,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,04G.tif,31,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/04G.tif,04G,matrigel5,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
0.0,04H.tif,32,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/04H.tif,04H,matrigel5,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,05A.tif,33,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/05A.tif,05A,matrigel5,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,05B.tif,34,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/05B.tif,05B,matrigel5,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,05C.tif,35,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/05C.tif,05C,matrigel5,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,05D.tif,36,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/05D.tif,05D,matrigel5,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,05E.tif,37,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/05E.tif,05E,matrigel5,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,05F.tif,38,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/05F.tif,05F,matrigel5,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,05G.tif,39,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/05G.tif,05G,matrigel5,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,05H.tif,40,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/05H.tif,05H,matrigel5,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,06A.tif,41,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/06A.tif,06A,matrigel5,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,06B.tif,42,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/06B.tif,06B,matrigel5,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,06C.tif,43,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/06C.tif,06C,matrigel5,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,06D.tif,44,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/06D.tif,06D,matrigel5,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,06E.tif,45,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/06E.tif,06E,matrigel5,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,06F.tif,46,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/06F.tif,06F,matrigel5,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,06G.tif,47,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/06G.tif,06G,matrigel5,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,06H.tif,48,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/06H.tif,06H,matrigel5,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,07A.tif,49,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/07A.tif,07A,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,07B.tif,50,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/07B.tif,07B,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,07C.tif,51,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/07C.tif,07C,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,07D.tif,52,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/07D.tif,07D,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,07E.tif,53,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/07E.tif,07E,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,07F.tif,54,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/07F.tif,07F,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,07G.tif,55,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/07G.tif,07G,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,07H.tif,56,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/07H.tif,07H,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,08A.tif,57,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/08A.tif,08A,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,08B.tif,58,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/08B.tif,08B,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,08C.tif,59,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/08C.tif,08C,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,08D.tif,60,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/08D.tif,08D,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,08E.tif,61,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/08E.tif,08E,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
0.0,08F.tif,62,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/08F.tif,08F,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,08G.tif,63,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/08G.tif,08G,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,08H.tif,64,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/08H.tif,08H,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,09A.tif,65,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/09A.tif,09A,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,09B.tif,66,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/09B.tif,09B,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,09C.tif,67,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/09C.tif,09C,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,09D.tif,68,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/09D.tif,09D,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,09E.tif,69,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/09E.tif,09E,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,09F.tif,70,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/09F.tif,09F,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
1.0,09G.tif,71,file:///C:/Users/Hugo/Documents/GitHub/SPAOM2020-ws1-high-content-screening/dataset2D/images/09G.tif,09G,pre2i,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset2D\images
