ImageNumber,ObjectNumber,FileName_DNA,FileName_GFP,PathName_DNA,PathName_GFP,Intensity_IntegratedIntensity_GFP,Intensity_MeanIntensity_GFP,Intensity_StdIntensity_GFP,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,16,01--C01.tif,01--C02.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset3D\images,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset3D\images,4.468696146272123,0.0032452404838577507,0.0007512831284107442,53.53376906318083,9.625272331154685,10.216412490922295,16
1,17,01--C01.tif,01--C02.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset3D\images,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset3D\images,3.7922636882867664,0.0027223716355253167,0.0007380264882398685,53.01794687724336,69.57358219669777,13.359655419956928,17
1,18,01--C01.tif,01--C02.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset3D\images,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset3D\images,3.6871747924014926,0.002356022231566449,0.00030260827996150623,31.696485623003195,31.80702875399361,14.999361022364218,18
1,19,01--C01.tif,01--C02.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset3D\images,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset3D\images,6.8908064377028495,0.0022578002744766874,0.00030758819089282495,31.163826998689384,64.79030144167758,19.518676277850588,19
1,20,01--C01.tif,01--C02.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset3D\images,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset3D\images,0.7092698556371033,0.0021428092315320343,0.0002954159782285658,8.634441087613293,71.39274924471299,12.039274924471298,20
1,21,01--C01.tif,01--C02.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset3D\images,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset3D\images,0.979354543145746,0.00234857204591306,0.00022554060997094746,2.014388489208633,13.865707434052759,13.988009592326138,21
1,22,01--C01.tif,01--C02.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset3D\images,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset3D\images,8.56450751540251,0.0021012040027974755,0.0002957268029745147,46.753189401373895,7.897448478900883,23.241658488714425,22
1,23,01--C01.tif,01--C02.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset3D\images,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset3D\images,0.32936598756350577,0.0021668814971283275,0.0004423298487315915,72.84210526315789,4.3355263157894735,14.848684210526315,23
1,24,01--C01.tif,01--C02.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset3D\images,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset3D\images,3.1307240398600698,0.0023844052093374484,0.00026526575660310275,37.04874333587205,13.702970297029703,17.067022086824068,24
1,25,01--C01.tif,01--C02.tif,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset3D\images,C:\Users\Hugo\Documents\GitHub\SPAOM2020-ws1-high-content-screening\dataset3D\images,2.2937819480430335,0.0023382078981070676,0.0002140691942310578,67.1559633027523,15.793068297655454,16.819571865443425,25
